RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
6181,New York,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458600,462900,465700,464300,470600,473600,469600,470100,471200,477600,471200,456200,446700,440600,448000,451600,460400,471900,476500,486400,482600,488600,491800,502300,498100,491000,476200,477600,481100,482500,480400,474900,483200,489800,499000,485200,482100,473300,486000,483500,481000,481700,492000,502100,501700,496700,489400,491100,492400,500200,506900,507300,510400,509700,517900,520100,522000,523100,526900,533300,538500,526100,547900,551100,564100,540300,537200,532100,527700,521600,529500,532500,537300,529700,530600,530900,535800,542800,543300,555400,550900,552000,540800,542500,543400,552200,553200,558800,556100,554600,546000,545100,551800,562100,563400,562300,565200,556200,562400,560500,572600,559000,562000,569100,569200,563900,553400,562700,563500
12447,Los Angeles,California,2,506900,488300,464300,454900,440000,423400,408700,398200,385800,370100,355800,347300,343800,334100,325700,327200,332600,338800,342400,345500,348700,351400,359400,363500,360700,353100,351000,350700,352500,348900,351300,349600,351900,353200,350300,351900,343500,344600,341000,342500,340700,338800,336700,330400,327600,324900,326600,327900,329400,333400,332000,336800,342400,351100,360700,364400,374100,388200,398100,409200,412400,426300,436300,449900,461700,465800,470900,471900,467200,456800,446000,448900,449100,453800,455500,457400,460800,462900,466500,470800,470200,473100,473100,480500,485400,490600,488200,489700,493300,503000,504000,500200,497700,508000,518900,524800,521800,524500,529000,530400,530300,531000,537200,536600,541400,537400,547800,546700,553900,549200,554500,560600,567300,569100,573700,583200,601000,607400,610800,616000,624500,629600,627900,634800,632900,638600,642400,661200,671700,671400,681400,684700,701200,701000,702600,706800,712200,717600,714400,712800,720400,726400
39051,Houston,Texas,3,138400,135200,131800,130700,133100,135000,137700,135900,133200,126200,125900,124000,127300,126100,128200,132300,137600,140200,142100,141000,140000,135900,135600,135000,136300,135500,135400,134300,130500,130200,129200,132800,135500,140900,139600,138200,133600,130800,129500,131400,133200,133400,132400,134800,136600,138700,135300,131300,131400,137600,144300,147000,145800,143500,140500,138700,141900,145200,148900,147900,147300,151500,155100,160100,162000,163600,164900,163200,164300,165700,166100,168200,167800,170100,169800,169100,168800,169100,168100,170300,168200,168300,168700,168100,170300,167500,169400,169700,171800,174200,173300,172100,170400,172500,178400,179300,177300,174400,176700,178800,181100,180600,183300,184600,187200,187700,188600,189900,191900,191600,189800,190700,188500,189900,189200,192100,193400,192900,193300,195800,197600,198000,196100,194300,194900,194500,197400,199000,203000,203500,206500,204700,206300,205200,209400,208900,207300,208100,209100,214600,216200,221800
17426,Chicago,Illinois,4,330900,321000,296900,278000,270300,265800,267200,267300,259400,255300,245800,247200,249400,242900,231900,217300,219500,223300,225200,224400,228800,227700,233200,225500,225700,221300,225100,224200,212000,200300,185300,189500,191000,193700,192700,195100,194500,187400,178300,182200,189900,196900,195700,192200,181600,179000,175200,178100,178800,181200,184400,187600,192500,196000,200300,194600,195300,188100,196100,192600,199000,199200,211000,220900,232000,237500,236600,239200,237300,235100,235700,240200,245800,244500,247100,249600,246900,246200,249800,254200,252900,250500,253100,254400,259800,260500,260100,251900,245100,236200,232000,226700,219000,217800,216400,221300,221300,223400,225200,222900,225100,226400,227500,229400,235300,245800,255900,253900,254400,243400,237900,225600,220000,223500,223300,228800,228500,233700,238300,243700,260400,260300,258300,246600,253800,259300,262400,259900,264000,246300,255800,266300,300400,298500,287900,275900,273000,270900,270000,267300,269900,274400
6915,San Antonio,Texas,5,130300,131300,131300,131700,131600,132600,131800,132200,130000,127400,126300,126300,129300,131600,134000,135000,135400,135300,135600,134600,133500,131400,129700,130100,129400,129900,128600,128800,128500,131100,133200,135800,136400,136200,135500,131600,130500,128700,131200,130900,131100,130500,132000,133300,132800,132500,130000,130200,130500,133600,136900,138200,138800,137400,137700,137900,138300,138200,135800,136800,139300,143000,144900,145700,147300,149200,148600,149100,148800,149000,150300,151000,152600,153500,154200,154600,154600,154100,155300,155900,157300,158300,159700,161400,162500,163600,163800,165200,165700,167100,168300,168500,166800,166400,167300,167600,168800,169400,171100,170900,172300,173600,174500,174600,174900,175500,174000,175400,174200,175500,175000,177700,176300,177400,177300,181100,181900,184800,185400,185400,184800,185200,186600,186300,186200,186000,187300,192200,194500,195100,190700,189900,191300,193700,196300,197300,199300,201300,202000,204500,204800,206800
13271,Philadelphia,Pennsylvania,6,112300,112200,111400,109100,107600,111100,114400,115100,113100,109400,108500,103000,102000,108100,111300,114200,109300,115900,120000,122900,125600,124600,122500,114700,114400,117100,119700,119200,114600,107900,105500,101000,105200,101400,106700,106900,110500,108600,107800,107800,104700,105700,105800,106500,102900,102900,104400,102700,101500,103100,107900,106400,105800,108200,106600,103900,102100,108400,110100,109200,103900,105400,104800,108200,109800,111300,111400,112600,113800,116700,117200,118100,121500,122000,121900,118400,116900,118500,117500,118000,115200,116400,116000,112200,114300,116600,120100,119300,119100,120100,122300,124000,123700,118900,125300,124700,125600,116000,119000,120700,124300,124500,126800,124600,125900,127200,132100,136700,138800,139600,139300,141600,142500,144100,143000,142500,145100,144300,149000,142500,142100,137000,140800,140800,141700,140200,141400,142300,146600,149800,152500,155000,155400,157900,158100,162000,163200,162500,159800,160900,171200,181900
40326,Phoenix,Arizona,7,219900,210100,201400,193200,184500,174900,166600,154600,141400,123700,108000,93400,83200,75800,74200,81500,88800,95800,96200,98000,103700,103300,103500,99800,100800,99700,100600,101900,101000,97100,94100,91900,87800,83000,83800,82100,81900,77800,77900,79000,80500,83000,85800,88000,90500,91800,88800,85000,82000,85100,93200,97300,102300,105000,108100,112200,115600,118800,121700,120500,121100,121500,127200,133400,137500,138400,138500,138800,136700,136400,135800,137500,137900,138200,138000,138400,140000,141600,143500,143100,141700,143400,143100,147300,149700,155100,159400,162900,164100,162500,161200,164000,166500,168600,167900,168600,170100,171800,174000,176400,177300,179800,182300,184500,187100,186800,189200,188700,189800,188100,189300,191000,193900,196000,197700,200400,202300,204800,208400,211800,213100,215000,215400,217100,220500,220700,222000,220800,222900,220600,221800,222200,225800,225700,228100,231300,233000,234200,237500,240900,244200,245800
18959,Las Vegas,Nevada,8,245200,240000,234400,227100,218500,207400,195400,185300,175600,166600,157500,149100,141800,132200,124000,119600,119000,117700,117100,118300,120300,122300,122800,123300,123300,124800,126100,126100,122900,121800,119900,119100,118000,116700,115400,113200,110900,109800,108300,107300,105400,103000,102600,103500,104900,105300,105300,106100,108300,110700,112500,114200,115700,117200,119600,122500,127400,131000,134300,136600,139000,141600,144400,150200,154900,158000,158200,160400,163200,164800,166200,166600,169100,170100,170000,162400,162800,167000,174900,176200,176000,178200,177600,178600,179500,182400,183200,180600,184100,185000,191000,188800,190200,190600,194900,198600,198100,196500,194700,195300,195600,195600,196400,198100,200200,200900,203900,206500,212900,214600,216800,218900,222500,225600,228600,231100,234400,236300,239400,242800,245700,248300,251600,255200,257000,258400,260200,263800,265000,264200,265900,266800,269800,266500,266300,265800,268600,269300,270700,272100,274700,275900
54296,San Diego,California,9,417300,404000,394900,380300,371000,356500,348200,334800,324000,313300,300200,301900,297300,295000,291900,306700,320800,330200,337600,344000,344900,346600,341000,340800,340100,344600,345200,342400,343500,343900,346400,349700,357900,357200,346500,335600,330900,337200,339500,336000,332300,325400,323700,323300,325000,328200,324200,326300,330300,338000,346200,350400,360000,362800,364800,368400,376900,387100,390500,393100,398800,408600,421500,426000,428700,426300,433900,434900,436200,435400,436600,437700,438100,439700,443300,444700,448300,455300,461500,468600,467100,466000,465000,473500,481300,481700,476900,476500,480300,481200,473400,470100,475100,489100,499700,498600,489900,491500,495200,500800,500400,503300,508200,518500,524000,524000,527100,535700,542200,535700,529600,534700,541400,546000,546000,551200,564500,573200,575700,574000,580100,585300,590400,592700,591900,592400,594700,593500,589600,584000,590300,595800,597500,598100,594400,596100,595600,601700,602100,607300,613200,
38128,Dallas,Texas,10,144500,142100,151600,158200,165300,164800,159800,149300,143600,130100,121300,119400,125900,134000,142700,154400,162700,164600,160300,163000,164400,162300,159400,147800,150900,157600,170700,174200,169200,170900,175900,171900,170300,170600,188100,181000,170700,152300,162900,171100,178200,179800,180000,174400,163900,168200,168100,171500,173100,185700,198600,201100,214100,222000,229300,224900,212100,212300,209900,209100,210000,218700,235600,242700,242800,245000,246200,246500,244800,242500,248200,247300,239800,235400,236400,241200,242200,240600,241500,243700,239800,244600,239900,249100,253700,255200,256100,252600,257900,259600,258700,257400,257100,257200,263500,255700,262200,261000,269900,267400,264400,267800,277600,285100,288800,281900,284500,282900,282400,281000,285900,291700,289600,290500,290800,295400,293800,296500,292500,296900,297500,301000,299500,298800,302900,300000,297400,290100,293700,299700,295600,290000,280900,288000,295400,304600,304900,303000,311200,316400,319800,
